periodo,banco,sector,creditos_miles,fecha
2020-12,BBVA,"Agricultura, Ganadería, Caza y Silvicultura",2307799.47,2020-12-01
2020-12,Comercio,"Agricultura, Ganadería, Caza y Silvicultura",30226.62,2020-12-01
2020-12,BCP,"Agricultura, Ganadería, Caza y Silvicultura",2905675.07,2020-12-01
2020-12,Pichincha,"Agricultura, Ganadería, Caza y Silvicultura",443985.09,2020-12-01
2020-12,BanBif,"Agricultura, Ganadería, Caza y Silvicultura",785222.8,2020-12-01
2020-12,Scotiabank,"Agricultura, Ganadería, Caza y Silvicultura",1697785.71,2020-12-01
2020-12,Citibank,"Agricultura, Ganadería, Caza y Silvicultura",8.18,2020-12-01
2020-12,Interbank,"Agricultura, Ganadería, Caza y Silvicultura",1479827.23,2020-12-01
2020-12,Mibanco,"Agricultura, Ganadería, Caza y Silvicultura",430834.89,2020-12-01
2020-12,GNB,"Agricultura, Ganadería, Caza y Silvicultura",138516.43,2020-12-01
2020-12,Falabella,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2020-12-01
2020-12,Santander,"Agricultura, Ganadería, Caza y Silvicultura",613256.61,2020-12-01
2020-12,Ripley,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2020-12-01
2020-12,Azteca,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2020-12-01
2020-12,ICBC,"Agricultura, Ganadería, Caza y Silvicultura",122722.33,2020-12-01
2020-12,Bank of China,"Agricultura, Ganadería, Caza y Silvicultura",0.0,2020-12-01
2020-12,BBVA,Pesca,275511.58,2020-12-01
2020-12,Comercio,Pesca,3477.54,2020-12-01
2020-12,BCP,Pesca,585641.58,2020-12-01
2020-12,Pichincha,Pesca,27508.18,2020-12-01
2020-12,BanBif,Pesca,21485.47,2020-12-01
2020-12,Scotiabank,Pesca,63771.54,2020-12-01
2020-12,Citibank,Pesca,0.0,2020-12-01
2020-12,Interbank,Pesca,309891.2,2020-12-01
2020-12,Mibanco,Pesca,22779.55,2020-12-01
2020-12,GNB,Pesca,2385.44,2020-12-01
2020-12,Falabella,Pesca,0.0,2020-12-01
2020-12,Santander,Pesca,57833.47,2020-12-01
2020-12,Ripley,Pesca,0.0,2020-12-01
2020-12,Azteca,Pesca,0.0,2020-12-01
2020-12,ICBC,Pesca,0.0,2020-12-01
2020-12,Bank of China,Pesca,0.0,2020-12-01
2020-12,BBVA,Minería,2007470.84,2020-12-01
2020-12,Comercio,Minería,0.0,2020-12-01
2020-12,BCP,Minería,3623996.5,2020-12-01
2020-12,Pichincha,Minería,137358.18,2020-12-01
2020-12,BanBif,Minería,488886.08,2020-12-01
2020-12,Scotiabank,Minería,1999050.99,2020-12-01
2020-12,Citibank,Minería,219431.46,2020-12-01
2020-12,Interbank,Minería,746219.01,2020-12-01
2020-12,Mibanco,Minería,5611.87,2020-12-01
2020-12,GNB,Minería,1166.78,2020-12-01
2020-12,Falabella,Minería,0.0,2020-12-01
2020-12,Santander,Minería,190383.25,2020-12-01
2020-12,Ripley,Minería,0.0,2020-12-01
2020-12,Azteca,Minería,0.0,2020-12-01
2020-12,ICBC,Minería,156784.91,2020-12-01
2020-12,Bank of China,Minería,0.0,2020-12-01
2020-12,BBVA,Industria Manufacturera,10042002.41,2020-12-01
2020-12,Comercio,Industria Manufacturera,67058.21,2020-12-01
2020-12,BCP,Industria Manufacturera,16917789.83,2020-12-01
2020-12,Pichincha,Industria Manufacturera,644598.69,2020-12-01
2020-12,BanBif,Industria Manufacturera,2084415.74,2020-12-01
2020-12,Scotiabank,Industria Manufacturera,7901851.39,2020-12-01
2020-12,Citibank,Industria Manufacturera,380841.16,2020-12-01
2020-12,Interbank,Industria Manufacturera,4332821.83,2020-12-01
2020-12,Mibanco,Industria Manufacturera,1010906.49,2020-12-01
2020-12,GNB,Industria Manufacturera,108482.4,2020-12-01
2020-12,Falabella,Industria Manufacturera,0.0,2020-12-01
2020-12,Santander,Industria Manufacturera,1023282.29,2020-12-01
2020-12,Ripley,Industria Manufacturera,0.0,2020-12-01
2020-12,Azteca,Industria Manufacturera,0.0,2020-12-01
2020-12,ICBC,Industria Manufacturera,138647.13,2020-12-01
2020-12,Bank of China,Industria Manufacturera,0.0,2020-12-01
2020-12,BBVA,"Electricidad, Gas y Agua",1392349.71,2020-12-01
2020-12,Comercio,"Electricidad, Gas y Agua",0.1,2020-12-01
2020-12,BCP,"Electricidad, Gas y Agua",3228030.02,2020-12-01
2020-12,Pichincha,"Electricidad, Gas y Agua",272.18,2020-12-01
2020-12,BanBif,"Electricidad, Gas y Agua",125514.63,2020-12-01
2020-12,Scotiabank,"Electricidad, Gas y Agua",1927975.15,2020-12-01
2020-12,Citibank,"Electricidad, Gas y Agua",87967.34,2020-12-01
2020-12,Interbank,"Electricidad, Gas y Agua",1024448.28,2020-12-01
2020-12,Mibanco,"Electricidad, Gas y Agua",10733.59,2020-12-01
2020-12,GNB,"Electricidad, Gas y Agua",83.62,2020-12-01
2020-12,Falabella,"Electricidad, Gas y Agua",0.0,2020-12-01
2020-12,Santander,"Electricidad, Gas y Agua",13800.0,2020-12-01
2020-12,Ripley,"Electricidad, Gas y Agua",0.0,2020-12-01
2020-12,Azteca,"Electricidad, Gas y Agua",0.0,2020-12-01
2020-12,ICBC,"Electricidad, Gas y Agua",54315.0,2020-12-01
2020-12,Bank of China,"Electricidad, Gas y Agua",0.0,2020-12-01
2020-12,BBVA,Construcción,1416643.33,2020-12-01
2020-12,Comercio,Construcción,31759.24,2020-12-01
2020-12,BCP,Construcción,2895629.05,2020-12-01
2020-12,Pichincha,Construcción,318519.95,2020-12-01
2020-12,BanBif,Construcción,425045.51,2020-12-01
2020-12,Scotiabank,Construcción,311133.6,2020-12-01
2020-12,Citibank,Construcción,0.0,2020-12-01
2020-12,Interbank,Construcción,777938.39,2020-12-01
2020-12,Mibanco,Construcción,508231.38,2020-12-01
2020-12,GNB,Construcción,105301.81,2020-12-01
2020-12,Falabella,Construcción,0.0,2020-12-01
2020-12,Santander,Construcción,152744.6,2020-12-01
2020-12,Ripley,Construcción,0.0,2020-12-01
2020-12,Azteca,Construcción,0.0,2020-12-01
2020-12,ICBC,Construcción,0.0,2020-12-01
2020-12,Bank of China,Construcción,0.0,2020-12-01
2020-12,BBVA,Comercio,14327735.51,2020-12-01
2020-12,Comercio,Comercio,63005.66,2020-12-01
2020-12,BCP,Comercio,18855474.38,2020-12-01
2020-12,Pichincha,Comercio,1409438.36,2020-12-01
2020-12,BanBif,Comercio,1591708.88,2020-12-01
2020-12,Scotiabank,Comercio,7191304.28,2020-12-01
2020-12,Citibank,Comercio,488096.61,2020-12-01
2020-12,Interbank,Comercio,5275592.52,2020-12-01
2020-12,Mibanco,Comercio,6169012.31,2020-12-01
2020-12,GNB,Comercio,224728.52,2020-12-01
2020-12,Falabella,Comercio,0.0,2020-12-01
2020-12,Santander,Comercio,747734.58,2020-12-01
2020-12,Ripley,Comercio,0.0,2020-12-01
2020-12,Azteca,Comercio,0.0,2020-12-01
2020-12,ICBC,Comercio,144402.44,2020-12-01
2020-12,Bank of China,Comercio,0.0,2020-12-01
2020-12,BBVA,Hoteles y Restaurantes,1780767.61,2020-12-01
2020-12,Comercio,Hoteles y Restaurantes,155.0,2020-12-01
2020-12,BCP,Hoteles y Restaurantes,2054426.82,2020-12-01
2020-12,Pichincha,Hoteles y Restaurantes,22291.13,2020-12-01
2020-12,BanBif,Hoteles y Restaurantes,106238.64,2020-12-01
2020-12,Scotiabank,Hoteles y Restaurantes,431681.35,2020-12-01
2020-12,Citibank,Hoteles y Restaurantes,2565.06,2020-12-01
2020-12,Interbank,Hoteles y Restaurantes,410206.71,2020-12-01
2020-12,Mibanco,Hoteles y Restaurantes,807591.39,2020-12-01
2020-12,GNB,Hoteles y Restaurantes,2935.91,2020-12-01
2020-12,Falabella,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,Santander,Hoteles y Restaurantes,138354.31,2020-12-01
2020-12,Ripley,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,Azteca,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,ICBC,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,Bank of China,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,BBVA,"Transporte, Almacenamiento y Comunicaciones",5706033.14,2020-12-01
