periodo,banco,tipo_credito,creditos_miles,fecha
2020-12,BBVA,Créditos corporativo,14081596.79,2020-12-01
2020-12,Comercio,Créditos corporativo,28206.8,2020-12-01
2020-12,BCP,Créditos corporativo,25824082.75,2020-12-01
2020-12,Pichincha,Créditos corporativo,567671.94,2020-12-01
2020-12,BanBif,Créditos corporativo,2761402.81,2020-12-01
2020-12,Scotiabank,Créditos corporativo,15014427.19,2020-12-01
2020-12,Citibank,Créditos corporativo,750733.71,2020-12-01
2020-12,Interbank,Créditos corporativo,6968836.34,2020-12-01
2020-12,Mibanco,Créditos corporativo,0.0,2020-12-01
2020-12,GNB,Créditos corporativo,381931.6,2020-12-01
2020-12,Falabella,Créditos corporativo,0.0,2020-12-01
2020-12,Santander,Créditos corporativo,1812607.86,2020-12-01
2020-12,Ripley,Créditos corporativo,0.0,2020-12-01
2020-12,Azteca,Créditos corporativo,0.0,2020-12-01
2020-12,ICBC,Créditos corporativo,556706.33,2020-12-01
2020-12,Bank of China,Créditos corporativo,0.0,2020-12-01
2020-12,BBVA,Sobregiros en cuenta corriente,271.18,2020-12-01
2020-12,Comercio,Sobregiros en cuenta corriente,0.03,2020-12-01
2020-12,BCP,Sobregiros en cuenta corriente,28206.14,2020-12-01
2020-12,Pichincha,Sobregiros en cuenta corriente,68.23,2020-12-01
2020-12,BanBif,Sobregiros en cuenta corriente,21.31,2020-12-01
2020-12,Scotiabank,Sobregiros en cuenta corriente,35038.38,2020-12-01
2020-12,Citibank,Sobregiros en cuenta corriente,608.66,2020-12-01
2020-12,Interbank,Sobregiros en cuenta corriente,32162.53,2020-12-01
2020-12,Mibanco,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,GNB,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,Falabella,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,Santander,Sobregiros en cuenta corriente,4964.4,2020-12-01
2020-12,Ripley,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,Azteca,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,ICBC,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,Bank of China,Sobregiros en cuenta corriente,0.0,2020-12-01
2020-12,BBVA,Tarjetas de crédito,527317.35,2020-12-01
2020-12,Comercio,Tarjetas de crédito,0.0,2020-12-01
2020-12,BCP,Tarjetas de crédito,1736.98,2020-12-01
2020-12,Pichincha,Tarjetas de crédito,12.28,2020-12-01
2020-12,BanBif,Tarjetas de crédito,63.05,2020-12-01
2020-12,Scotiabank,Tarjetas de crédito,276.55,2020-12-01
2020-12,Citibank,Tarjetas de crédito,483.93,2020-12-01
2020-12,Interbank,Tarjetas de crédito,761.09,2020-12-01
2020-12,Mibanco,Tarjetas de crédito,0.0,2020-12-01
2020-12,GNB,Tarjetas de crédito,0.0,2020-12-01
2020-12,Falabella,Tarjetas de crédito,0.0,2020-12-01
2020-12,Santander,Tarjetas de crédito,0.0,2020-12-01
2020-12,Ripley,Tarjetas de crédito,0.0,2020-12-01
2020-12,Azteca,Tarjetas de crédito,0.0,2020-12-01
2020-12,ICBC,Tarjetas de crédito,0.0,2020-12-01
2020-12,Bank of China,Tarjetas de crédito,0.0,2020-12-01
2020-12,BBVA,Descuentos,121459.71,2020-12-01
2020-12,Comercio,Descuentos,0.0,2020-12-01
2020-12,BCP,Descuentos,275707.47,2020-12-01
2020-12,Pichincha,Descuentos,20765.85,2020-12-01
2020-12,BanBif,Descuentos,31841.33,2020-12-01
2020-12,Scotiabank,Descuentos,83108.07,2020-12-01
2020-12,Citibank,Descuentos,0.0,2020-12-01
2020-12,Interbank,Descuentos,76538.18,2020-12-01
2020-12,Mibanco,Descuentos,0.0,2020-12-01
2020-12,GNB,Descuentos,0.0,2020-12-01
2020-12,Falabella,Descuentos,0.0,2020-12-01
2020-12,Santander,Descuentos,480462.74,2020-12-01
2020-12,Ripley,Descuentos,0.0,2020-12-01
2020-12,Azteca,Descuentos,0.0,2020-12-01
2020-12,ICBC,Descuentos,0.0,2020-12-01
2020-12,Bank of China,Descuentos,0.0,2020-12-01
2020-12,BBVA,Préstamos,7562962.9,2020-12-01
2020-12,Comercio,Préstamos,23304.84,2020-12-01
2020-12,BCP,Préstamos,18008311.8,2020-12-01
2020-12,Pichincha,Préstamos,227575.13,2020-12-01
2020-12,BanBif,Préstamos,1418977.83,2020-12-01
2020-12,Scotiabank,Préstamos,10598657.6,2020-12-01
2020-12,Citibank,Préstamos,73246.82,2020-12-01
2020-12,Interbank,Préstamos,4701599.67,2020-12-01
