periodo,banco,tipo_credito,morosidad_pct
2020-12,B. BBVA Perú,Créditos corporativos,0.057
2020-12,B. de Comercio,Créditos corporativos,0.0004
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Créditos corporativos,1.0011
2020-12,B. Pichincha,Créditos corporativos,0.0
2020-12,B. Interamericano de Finanzas,Créditos corporativos,0.0249
2020-12,Scotiabank Perú,Créditos corporativos,1.3934
2020-12,Citibank,Créditos corporativos,0.0
2020-12,Interbank,Créditos corporativos,0.0
2020-12,B. GNB,Créditos corporativos,0.0
2020-12,B. Santander Perú,Créditos corporativos,0.0001
2020-12,B. ICBC,Créditos corporativos,0.0
2020-12,B. BBVA Perú,Tarjetas de crédito,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Tarjetas de crédito,0.0
2020-12,B. Pichincha,Tarjetas de crédito,0.0
2020-12,B. Interamericano de Finanzas,Tarjetas de crédito,0.0
2020-12,Scotiabank Perú,Tarjetas de crédito,0.0
2020-12,Citibank,Tarjetas de crédito,0.0
2020-12,Interbank,Tarjetas de crédito,0.0
2020-12,B. BBVA Perú,Descuentos,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Descuentos,0.004
2020-12,B. Pichincha,Descuentos,0.0
2020-12,B. Interamericano de Finanzas,Descuentos,0.0
2020-12,Scotiabank Perú,Descuentos,0.0
2020-12,Interbank,Descuentos,0.0
2020-12,B. Santander Perú,Descuentos,0.0
2020-12,B. BBVA Perú,Préstamos,0.0
2020-12,B. de Comercio,Préstamos,0.0004
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Préstamos,0.8275
2020-12,B. Pichincha,Préstamos,0.0
2020-12,B. Interamericano de Finanzas,Préstamos,0.0484
2020-12,Scotiabank Perú,Préstamos,0.1604
2020-12,Citibank,Préstamos,0.0
2020-12,Interbank,Préstamos,0.0
2020-12,B. GNB,Préstamos,0.0
2020-12,B. Santander Perú,Préstamos,0.0
2020-12,B. ICBC,Préstamos,0.0
2020-12,B. BBVA Perú,Factoring,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Factoring,0.0
2020-12,B. Pichincha,Factoring,0.0
2020-12,B. Interamericano de Finanzas,Factoring,0.0
2020-12,Scotiabank Perú,Factoring,0.0
2020-12,Citibank,Factoring,0.0
2020-12,Interbank,Factoring,0.0
2020-12,B. Santander Perú,Factoring,0.0
2020-12,B. BBVA Perú,Arrendamiento financiero y Lease-back,0.8067
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Arrendamiento financiero y Lease-back,4.2224
2020-12,B. Pichincha,Arrendamiento financiero y Lease-back,0.0
2020-12,B. Interamericano de Finanzas,Arrendamiento financiero y Lease-back,0.0
2020-12,Scotiabank Perú,Arrendamiento financiero y Lease-back,10.2754
2020-12,Interbank,Arrendamiento financiero y Lease-back,0.0
2020-12,B. GNB,Arrendamiento financiero y Lease-back,0.0
2020-12,B. Santander Perú,Arrendamiento financiero y Lease-back,0.0
2020-12,B. ICBC,Arrendamiento financiero y Lease-back,0.0
2020-12,B. BBVA Perú,Comercio exterior,0.0
2020-12,B. de Comercio,Comercio exterior,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Comercio exterior,0.0
2020-12,B. Pichincha,Comercio exterior,0.0
2020-12,B. Interamericano de Finanzas,Comercio exterior,0.0
2020-12,Scotiabank Perú,Comercio exterior,0.0
2020-12,Interbank,Comercio exterior,0.0
2020-12,B. GNB,Comercio exterior,0.0
2020-12,B. Santander Perú,Comercio exterior,0.0
2020-12,B. ICBC,Comercio exterior,0.0
2020-12,B. BBVA Perú,Otros 1/,0.0
2020-12,B. de Comercio,Otros 1/,100.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Otros 1/,0.0583
2020-12,B. Pichincha,Otros 1/,0.0003
2020-12,B. Interamericano de Finanzas,Otros 1/,0.0065
2020-12,Scotiabank Perú,Otros 1/,0.0
2020-12,Citibank,Otros 1/,0.0
2020-12,Interbank,Otros 1/,0.0
2020-12,B. Santander Perú,Otros 1/,0.0022
2020-12,B. ICBC,Otros 1/,0.0
2020-12,B. BBVA Perú,Créditos a grandes empresas,1.2006
2020-12,B. de Comercio,Créditos a grandes empresas,2.4971
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Créditos a grandes empresas,0.6923
2020-12,B. Pichincha,Créditos a grandes empresas,3.2035
2020-12,B. Interamericano de Finanzas,Créditos a grandes empresas,1.1348
2020-12,Scotiabank Perú,Créditos a grandes empresas,2.2078
2020-12,Citibank,Créditos a grandes empresas,0.0
2020-12,Interbank,Créditos a grandes empresas,1.3471
2020-12,B. GNB,Créditos a grandes empresas,3.7842
2020-12,B. Falabella Perú,Créditos a grandes empresas,0.0
2020-12,B. Santander Perú,Créditos a grandes empresas,0.8573
2020-12,B. ICBC,Créditos a grandes empresas,0.0
2020-12,B. BBVA Perú,Tarjetas de crédito,0.9948
2020-12,B. de Comercio,Tarjetas de crédito,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Tarjetas de crédito,0.4756
2020-12,B. Pichincha,Tarjetas de crédito,6.8705
2020-12,B. Interamericano de Finanzas,Tarjetas de crédito,9.971
2020-12,Scotiabank Perú,Tarjetas de crédito,0.0
2020-12,Citibank,Tarjetas de crédito,0.0
2020-12,Interbank,Tarjetas de crédito,1.5622
2020-12,B. Falabella Perú,Tarjetas de crédito,0.0
2020-12,B. BBVA Perú,Descuentos,0.1027
2020-12,B. de Comercio,Descuentos,9.2015
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Descuentos,0.1136
2020-12,B. Pichincha,Descuentos,0.4593
2020-12,B. Interamericano de Finanzas,Descuentos,0.0
2020-12,Scotiabank Perú,Descuentos,0.1438
2020-12,Interbank,Descuentos,0.7332
2020-12,B. GNB,Descuentos,0.0
2020-12,B. Santander Perú,Descuentos,0.0
2020-12,B. ICBC,Descuentos,0.0
2020-12,B. BBVA Perú,Préstamos,1.3007
2020-12,B. de Comercio,Préstamos,3.4714
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Préstamos,0.8338
2020-12,B. Pichincha,Préstamos,3.8813
2020-12,B. Interamericano de Finanzas,Préstamos,1.512
2020-12,Scotiabank Perú,Préstamos,2.9475
2020-12,Citibank,Préstamos,0.0
2020-12,Interbank,Préstamos,1.2848
2020-12,B. GNB,Préstamos,2.9924
2020-12,B. Santander Perú,Préstamos,1.4615
2020-12,B. ICBC,Préstamos,0.0
2020-12,B. BBVA Perú,Factoring,0.0004
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Factoring,0.0
2020-12,B. Pichincha,Factoring,0.0
2020-12,B. Interamericano de Finanzas,Factoring,0.0
2020-12,Scotiabank Perú,Factoring,0.0
2020-12,Citibank,Factoring,0.0
2020-12,Interbank,Factoring,0.0
2020-12,B. Santander Perú,Factoring,0.0
2020-12,B. BBVA Perú,Arrendamiento financiero y Lease-back,0.342
2020-12,B. de Comercio,Arrendamiento financiero y Lease-back,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Arrendamiento financiero y Lease-back,0.1218
2020-12,B. Pichincha,Arrendamiento financiero y Lease-back,0.5444
2020-12,B. Interamericano de Finanzas,Arrendamiento financiero y Lease-back,1.0359
2020-12,Scotiabank Perú,Arrendamiento financiero y Lease-back,0.2737
2020-12,Interbank,Arrendamiento financiero y Lease-back,0.7146
2020-12,B. GNB,Arrendamiento financiero y Lease-back,2.2771
2020-12,B. Santander Perú,Arrendamiento financiero y Lease-back,0.0
2020-12,B. ICBC,Arrendamiento financiero y Lease-back,0.0
2020-12,B. BBVA Perú,Comercio exterior,0.0398
2020-12,B. de Comercio,Comercio exterior,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Comercio exterior,0.3757
2020-12,B. Pichincha,Comercio exterior,2.6036
2020-12,B. Interamericano de Finanzas,Comercio exterior,0.0
2020-12,Scotiabank Perú,Comercio exterior,0.0
2020-12,Citibank,Comercio exterior,0.0
2020-12,Interbank,Comercio exterior,2.2871
2020-12,B. GNB,Comercio exterior,2.6382
2020-12,B. Santander Perú,Comercio exterior,0.0
2020-12,B. BBVA Perú,Otros 1/,25.3735
2020-12,B. de Comercio,Otros 1/,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Otros 1/,1.2209
2020-12,B. Pichincha,Otros 1/,2.5664
2020-12,B. Interamericano de Finanzas,Otros 1/,1.7507
2020-12,Scotiabank Perú,Otros 1/,0.7133
2020-12,Citibank,Otros 1/,0.0
2020-12,Interbank,Otros 1/,3.0111
2020-12,B. GNB,Otros 1/,33.1411
2020-12,B. Santander Perú,Otros 1/,0.1877
2020-12,B. BBVA Perú,Créditos a medianas empresas,6.3402
2020-12,B. de Comercio,Créditos a medianas empresas,13.759
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Créditos a medianas empresas,5.201
2020-12,B. Pichincha,Créditos a medianas empresas,10.0298
2020-12,B. Interamericano de Finanzas,Créditos a medianas empresas,7.2039
2020-12,Scotiabank Perú,Créditos a medianas empresas,9.4203
2020-12,Citibank,Créditos a medianas empresas,0.0
2020-12,Interbank,Créditos a medianas empresas,2.7123
2020-12,Mibanco,Créditos a medianas empresas,6.6982
2020-12,B. GNB,Créditos a medianas empresas,11.5984
2020-12,B. Falabella Perú,Créditos a medianas empresas,0.0
2020-12,B. Santander Perú,Créditos a medianas empresas,3.1916
2020-12,B. ICBC,Créditos a medianas empresas,0.0
2020-12,B. BBVA Perú,Tarjetas de crédito,8.3871
2020-12,B. de Comercio,Tarjetas de crédito,0.0
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Tarjetas de crédito,16.4754
2020-12,B. Pichincha,Tarjetas de crédito,13.6685
2020-12,B. Interamericano de Finanzas,Tarjetas de crédito,19.3359
2020-12,Scotiabank Perú,Tarjetas de crédito,36.3713
2020-12,Citibank,Tarjetas de crédito,0.0
2020-12,Interbank,Tarjetas de crédito,6.3999
2020-12,B. Falabella Perú,Tarjetas de crédito,0.0
2020-12,B. BBVA Perú,Descuentos,7.9702
2020-12,B. de Comercio,Descuentos,17.4572
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Descuentos,1.9452
2020-12,B. Pichincha,Descuentos,7.7034
2020-12,B. Interamericano de Finanzas,Descuentos,3.6578
2020-12,Scotiabank Perú,Descuentos,8.395
2020-12,Interbank,Descuentos,0.5647
2020-12,B. GNB,Descuentos,43.4109
2020-12,B. Santander Perú,Descuentos,0.2877
2020-12,B. BBVA Perú,Préstamos,5.7379
2020-12,B. de Comercio,Préstamos,11.0348
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Préstamos,4.9289
2020-12,B. Pichincha,Préstamos,9.5048
2020-12,B. Interamericano de Finanzas,Préstamos,6.9922
2020-12,Scotiabank Perú,Préstamos,8.7789
2020-12,Citibank,Préstamos,0.0
2020-12,Interbank,Préstamos,2.4944
2020-12,Mibanco,Préstamos,6.6982
2020-12,B. GNB,Préstamos,11.9994
2020-12,B. Santander Perú,Préstamos,3.3355
2020-12,B. BBVA Perú,Factoring,0.0033
2020-12,B. de Crédito del Perú (con sucursales en el exterior),Factoring,0.0
2020-12,B. Pichincha,Factoring,0.0
2020-12,B. Interamericano de Finanzas,Factoring,0.0
2020-12,Scotiabank Perú,Factoring,0.0
2020-12,Citibank,Factoring,0.0
2020-12,Interbank,Factoring,0.0
